"category","country","unit","year","value","sheet"
"Frozen vegetables","Mexico","Million dollars","2021",530.2,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2020",554.9,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2019",504.3,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2018",468.4,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2017",426.4,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2016",444.6,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2015",424.1,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2014",395.3,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2013",371.5,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2012",355.3,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2011",352.4,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2010",299.6,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2009",268.3,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2008",274.9,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2007",230.2,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2006",197.9,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2005",210.3,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2004",188.1,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2003",167.7,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2002",158.8,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2001",156.5,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2000",149.4,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","1999",155.6,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2023",159.5,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2022",154,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2021",130.4,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2020",127.2,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2019",137.8,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2018",144.6,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2017",147.3,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2016",134.7,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2015",142.6,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2014",134.6,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2013",133.3,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2012",136.5,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2011",130.5,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2010",118.6,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2009",118.5,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2008",121.6,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2007",110.2,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2006",92.2,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2005",83.8,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2004",82.6,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2003",73.3,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2002",58.9,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2001",49.7,"Vegetables"
"Frozen vegetables","Canada","Million dollars","2000",51.1,"Vegetables"
"Frozen vegetables","Canada","Million dollars","1999",53.9,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2023",74.6,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2022",78.6,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2021",78.6,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2020",71.9,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2019",60.9,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2018",70.6,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2017",52.7,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2016",59.7,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2015",61,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2014",68.2,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2013",63.4,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2012",69.6,"Vegetables"
"Frozen vegetables","Guatemala","Million dollars","2011",54.4,"Vegetables"
